  DATA CHANNELS:                                            
         ch      emin -        emax         data    +-      
        200     191.99     193.00     0.94013E-02     0.54163E-05
        201     193.00     194.01     0.10959E-01     0.58769E-05
        202     194.01     195.02     0.11700E-01     0.60721E-05
        203     195.02     196.03     0.10303E-01     0.56984E-05
        204     196.03     197.04     0.12017E-01     0.61232E-05
        205     197.04     198.05     0.21618E-01     0.82544E-05
        206     198.05     199.05     0.26033E-01     0.90575E-05
        207     199.05     200.06     0.15239E-01     0.69298E-05
        208     200.06     201.07     0.90283E-02     0.53079E-05
        209     201.07     202.08     0.83883E-02     0.51416E-05
        210     202.08     203.09     0.83016E-02     0.51149E-05
        211     203.09     204.10     0.82501E-02     0.50993E-05
        212     204.10     205.11     0.81138E-02     0.50316E-05
        213     205.11     206.12     0.81056E-02     0.50542E-05
        214     206.12     207.13     0.79740E-02     0.50132E-05
        215     207.13     208.14     0.79108E-02     0.49930E-05
        216     208.14     209.15     0.78174E-02     0.49389E-05
        217     209.15     210.16     0.78686E-02     0.49801E-05
        218     210.16     211.17     0.78386E-02     0.49703E-05
        219     211.17     212.18     0.79085E-02     0.49926E-05
        220     212.18     213.19     0.78013E-02     0.49339E-05
        221     213.19     214.20     0.78338E-02     0.49688E-05
        222     214.20     215.21     0.78365E-02     0.49699E-05
        223     215.21     216.21     0.79302E-02     0.49993E-05
        224     216.21     217.22     0.79349E-02     0.49759E-05
        225     217.22     218.23     0.81378E-02     0.50645E-05
        226     218.23     219.24     0.83414E-02     0.51273E-05
        227     219.24     220.25     0.87083E-02     0.52389E-05
        228     220.25     221.26     0.90781E-02     0.53226E-05
        229     221.26     222.27     0.93848E-02     0.54385E-05
        230     222.27     223.28     0.92089E-02     0.53876E-05
        231     223.28     224.29     0.90216E-02     0.53323E-05
        232     224.29     225.30     0.87391E-02     0.52220E-05
        233     225.30     226.31     0.86482E-02     0.52210E-05
        234     226.31     227.32     0.84413E-02     0.51579E-05
        235     227.32     228.33     0.81922E-02     0.50813E-05
        236     228.33     229.34     0.78349E-02     0.49694E-05
        237     229.34     230.35     0.73844E-02     0.48003E-05
        238     230.35     231.36     0.71492E-02     0.47468E-05
        239     231.36     232.36     0.70089E-02     0.47003E-05
        240     232.36     233.37     0.69114E-02     0.46673E-05
        241     233.37     234.38     0.67729E-02     0.45973E-05
        242     234.38     235.39     0.67871E-02     0.46253E-05
        243     235.39     236.40     0.67881E-02     0.46254E-05
        244     236.40     237.41     0.68604E-02     0.46502E-05
        245     237.41     238.42     0.70027E-02     0.46746E-05
        246     238.42     239.43     0.70751E-02     0.47222E-05
        247     239.43     240.44     0.68290E-02     0.46396E-05
        248     240.44     241.45     0.67268E-02     0.46045E-05
        249     241.45     242.46     0.66308E-02     0.45488E-05
        250     242.46     243.47     0.66795E-02     0.45885E-05
        251     243.47     244.48     0.67440E-02     0.46104E-05
        252     244.48     245.49     0.67918E-02     0.46267E-05
        253     245.49     246.50     0.66773E-02     0.45650E-05
        254     246.50     247.50     0.66013E-02     0.45614E-05
        255     247.50     248.51     0.64973E-02     0.45255E-05
        256     248.51     249.52     0.64367E-02     0.45041E-05
        257     249.52     250.53     0.62947E-02     0.44321E-05
        258     250.53     251.54     0.62075E-02     0.44235E-05
        259     251.54     252.55     0.60995E-02     0.43846E-05
        260     252.55     253.56     0.59849E-02     0.43433E-05
        261     253.56     254.57     0.57890E-02     0.42505E-05
        262     254.57     255.58     0.57120E-02     0.42430E-05
        263     255.58     256.59     0.56078E-02     0.42042E-05
        264     256.59     257.60     0.55392E-02     0.41786E-05
        265     257.60     258.61     0.54240E-02     0.41142E-05
        266     258.61     259.62     0.53927E-02     0.41228E-05
        267     259.62     260.63     0.53345E-02     0.41007E-05
        268     260.63     261.63     0.52722E-02     0.40765E-05
        269     261.63     262.64     0.51829E-02     0.40219E-05
        270     262.64     263.65     0.51819E-02     0.40415E-05
        271     263.65     264.66     0.51839E-02     0.40422E-05
        272     264.66     265.67     0.51489E-02     0.40287E-05
        273     265.67     266.68     0.51129E-02     0.40145E-05
        274     266.68     267.69     0.50125E-02     0.39551E-05
        275     267.69     268.70     0.50611E-02     0.39943E-05
        276     268.70     269.71     0.51176E-02     0.40163E-05
        277     269.71     270.72     0.53955E-02     0.41239E-05
        278     270.72     271.73     0.55608E-02     0.41660E-05
        279     271.73     272.74     0.52869E-02     0.40822E-05
        280     272.74     273.75     0.49965E-02     0.39687E-05
        281     273.75     274.75     0.49204E-02     0.39382E-05
        282     274.75     275.76     0.48317E-02     0.38832E-05
        283     275.76     276.77     0.48747E-02     0.39201E-05
        284     276.77     277.78     0.48512E-02     0.39104E-05
        285     277.78     278.79     0.48258E-02     0.39002E-05
        286     278.79     279.80     0.47308E-02     0.38426E-05
        287     279.80     280.81     0.47294E-02     0.38610E-05
        288     280.81     281.82     0.46897E-02     0.38448E-05
        289     281.82     282.83     0.46702E-02     0.38370E-05
        290     282.83     283.84     0.46021E-02     0.37898E-05
        291     283.84     284.85     0.46160E-02     0.38145E-05
        292     284.85     285.86     0.45812E-02     0.38003E-05
        293     285.86     286.87     0.45408E-02     0.37833E-05
        294     286.87     287.87     0.44647E-02     0.37331E-05
        295     287.87     288.88     0.45012E-02     0.37668E-05
        296     288.88     289.89     0.45010E-02     0.37667E-05
        297     289.89     290.90     0.45136E-02     0.37722E-05
        298     290.90     291.91     0.44643E-02     0.37326E-05
        299     291.91     292.92     0.44708E-02     0.37540E-05
        300     292.92     293.93     0.44349E-02     0.37391E-05
        301     293.93     294.94     0.44697E-02     0.37536E-05
        302     294.94     295.95     0.44560E-02     0.37293E-05
        303     295.95     296.96     0.44651E-02     0.37519E-05
        304     296.96     297.97     0.44002E-02     0.37243E-05
        305     297.97     298.98     0.43326E-02     0.36957E-05
        306     298.98     299.98     0.42599E-02     0.36463E-05
        307     299.98     300.99     0.43272E-02     0.36933E-05
        308     300.99     302.00     0.43330E-02     0.36960E-05
        309     302.00     303.01     0.43145E-02     0.36879E-05
        310     303.01     304.02     0.43498E-02     0.37030E-05
        311     304.02     305.03     0.42782E-02     0.36543E-05
        312     305.03     306.04     0.42286E-02     0.36510E-05
        313     306.04     307.05     0.42006E-02     0.36390E-05
        314     307.05     308.06     0.42288E-02     0.36513E-05
        315     308.06     309.07     0.44331E-02     0.37197E-05
        316     309.07     310.08     0.47797E-02     0.38816E-05
        317     310.08     311.09     0.44978E-02     0.37657E-05
        318     311.09     312.09     0.41150E-02     0.36017E-05
        319     312.09     313.10     0.39866E-02     0.35276E-05
        320     313.10     314.11     0.40179E-02     0.35590E-05
        321     314.11     315.12     0.40183E-02     0.35591E-05
        322     315.12     316.13     0.39988E-02     0.35506E-05
        323     316.13     317.14     0.39568E-02     0.35142E-05
        324     317.14     318.15     0.39705E-02     0.35379E-05
        325     318.15     319.16     0.39781E-02     0.35414E-05
        326     319.16     320.17     0.40044E-02     0.35529E-05
        327     320.17     321.18     0.39715E-02     0.35208E-05
        328     321.18     322.19     0.39422E-02     0.35254E-05
        329     322.19     323.19     0.39039E-02     0.35081E-05
        330     323.19     324.20     0.39059E-02     0.35092E-05
        331     324.20     325.21     0.39460E-02     0.35094E-05
        332     325.21     326.22     0.39939E-02     0.35484E-05
        333     326.22     327.23     0.38981E-02     0.35056E-05
        334     327.23     328.24     0.38615E-02     0.34890E-05
        335     328.24     329.25     0.38484E-02     0.34658E-05
        336     329.25     330.26     0.38564E-02     0.34868E-05
        337     330.26     331.27     0.38471E-02     0.34825E-05
        338     331.27     332.28     0.38488E-02     0.34832E-05
        339     332.28     333.29     0.37499E-02     0.34213E-05
        340     333.29     334.29     0.37269E-02     0.34277E-05
        341     334.29     335.30     0.36987E-02     0.34147E-05
        342     335.30     336.31     0.36735E-02     0.34032E-05
        343     336.31     337.32     0.36635E-02     0.33815E-05
