trigger_num,name,t90,flnc_band_alpha,flnc_band_beta,flnc_band_epeak,flnc_band_phtflux
6194,GRB 970419,  35.264,  -1.61,  -3.47,81,   1.77
3166,4B 940911,   5.504,  -0.46,  -2.53,59,   0.45
2985,4B 940521-,  31.104,  -0.33,  -2.08,119,   0.43
8082,GRB 000420-,  10.112,  -1.07, -18.63,400,   0.52
7472,GRB 990315-,   1.958,  -0.33,  -2.38,482,   1.25
3102,4B 940730,  37.056,  -1.00,  -2.49,288,   0.60
3347,4B 950105,  61.216,  -1.27,  -2.00,161,   0.60
226,4B 910525, 221.184,  -1.17, -18.63,367,   0.85
7813,GRB 991020,   0.564,  -1.91,  -7.63,1910,   1.23
6578,GRB 980124-,  68.352,  -0.17,  -2.19,122,   0.47
2252,4B 930316,  35.328,  -1.24,  -2.96,111,   0.47
3091,4B 940720,   9.472,  -1.91,  -6.58,1270,   0.59
6674,GRB 980401-,  86.336,  -1.45,  -2.37,139,   0.70
6582,GRB 980126,   7.040,  -1.57,  -2.95,54.1,   1.74
297,4B 910608,   0.960,  -0.40,  -1.76,490,   0.87
1465,4B 920305-,,  -1.06,  -2.53,160,   0.36
7579,GRB 990523-,  15.808,  -0.32,  -7.46,224,   0.55
5212,4B 960312,   0.384,   1.42,  -1.80,238,   0.46
1662,4B 920622-,   0.419,  -0.92,  -1.85,137,   0.28
2206,4B 930220,   0.602,  -0.09,  -9.54,408,   0.40
7868,GRB 991121, 112.192,  -0.55,  -2.61,153,   1.12
7609,GRB 990618,  52.416,  -0.63,  -8.00,114,   0.75
3298,4B 941126-,,  -1.44,  -5.35,329,   2.88
3766,4B 950819, 134.496,  -0.72,  -2.23,168,   0.76
4216,4B 960102,  25.472,  -1.62,  -2.24,129,   0.86
6230,GRB 970514,   1.280,  -1.10,  -4.80,356,   0.62
6564,GRB 980109-,  30.720,  -1.01,  -2.29,120,   0.96
7344,GRB 990123-,   0.364,  -0.63,  -4.49,852,   0.48
6634,GRB 980310-,   0.583,  -2.07,  -2.46,93.5,  26.42
1481,4B 920314-,   1.408,  -0.43, -17.38,88.1,   0.83
6635,GRB 980310-,   1.152,  -1.48,  -2.45,57.4,   8.70
7580,GRB 990523-,  66.560,   0.56,  -3.03,56.4,   0.66
7527,GRB 990424-, 253.952,  -0.71,  -2.68,312,   2.04
4776,4B 960207,   0.448,  -0.84,  -9.93,890,   1.39
2798,4B 940206-,  49.152,  -1.19,  -2.42,427,   3.43
7872,GRB 991122,  36.864,  -1.98,  -4.88,572,   0.30
8073,GRB 000412,  33.024,  -1.40,  -2.49,300,   0.51
6425,GRB 971011,   8.896,  -1.55, -18.07,153,   0.91
3286,4B 941116,   2.368,  -0.68,  -6.80,1220,   0.21
3088,4B 940717-,   5.184,  -1.91,  -7.63,1140,   0.66
685,4B 910816-,  72.512,  -1.91,  -6.63,946,   0.54
5731,GRB 961228-,  60.032,  -1.51,  -2.74,172,   1.64
1458,4B 920302-,  81.728,  -0.38,  -2.61,90.1,   0.43
6309,GRB 970716,  22.656,  -1.91,  -5.97,1230,   0.60
3618,4B 950602,  90.176,  -0.56, -23.28,275,   0.70
465,4B 910629-,  13.824,  -1.35, -18.63,488,   0.23
7517,GRB 990412,  48.064,  -1.91,  -6.57,1050,   0.46
7446,GRB 990304-,  13.568,  -1.49,  -3.63,193,   1.75
543,4B 910717-,   4.864,  -1.01,  -2.94,246,   5.90
2975,4B 940512-,   0.240,   1.32,  -2.54,196,   0.17
3029,4B 940616-,  44.736,  -0.60,  -2.07,653,   0.23
6700,GRB 980423,   0.192,   1.19,  -4.12,335,   0.29
5575,4B 960815,  12.800,  -1.23,  -2.13,154,   2.91
7932,GRB 000103,  67.392,  -1.39,  -3.09,129,   1.52
2146,4B 930125,   0.248,  -0.96,  -3.91,762,   0.26
1307,4B 920121-,,  -1.91,  -7.05,1450,   0.38
1541,4B 920406,  26.240,  -1.13,  -2.49,330,   6.85
6487,GRB 971118-,   9.408,  -1.12,  -2.60,75,   0.70
3860,4B 951011,  31.488,  -0.57,  -2.46,532,   2.02
2953,4B 940429-,  16.832,  -1.02,  -2.23,184,   4.66
7526,GRB 990423,   1.973,  -1.12,  -1.09,732,   0.26
6320,GRB 970731,  57.984,  -1.44,  -1.99,114,   0.94
3267,4B 941031-,  54.336,  -0.51, -23.28,186,   0.39
3229,4B 941009,  20.736,  -2.03,  -2.29,755,   0.49
3890,4B 951102-,  12.224,  -1.00, -25.10,119,   0.69
7745,GRB 990829-,   3.264,  -1.12,  -2.24,130,   0.58
516,4B 910712,  12.672,  -0.18,  -2.78,73.9,   0.79
2484,4B 930807-,  11.392,  -0.53,  -3.69,175,   0.99
7678,GRB 990728,  42.752,  -1.01,  -2.68,386,   3.22
5423,4B 960415-,  13.312,  -1.91,  -5.58,1280,   0.77
6630,GRB 980306-,  23.552,  -1.66, -21.71,414,   5.06
5554,4B 960730-,  79.296,  -1.09,  -2.19,491,   0.65
5482,4B 960601-, 253.280,  -0.97, -23.28,143,   0.43
3103,4B 940731,  53.824,  -1.17,  -3.08,89,   0.51
2751,4B 940111,  20.544,  -0.69,  -3.09,180,   0.33
